userId,top_5_name,prediction_rate
M0000016017452,"['티타니아 샌드풋파일', '[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)', '[선우PICK]메디힐 티트리 진정 패드 100매', 'C07', '히말라야 핑크솔트 담은 칫솔 부드러운 초극세모 1입 (색상랜덤)']","[0.9987248778343201, 0.9935184121131897, 0.9794714450836182, 0.977523148059845, 0.9699780941009521]"
M0000018225780,"['칼파제르 밀크 초콜릿150g', 'C07', '[4월 올영PICK/(미니 증정기획)] 페리페라 잉크더벨벳AD', '필리밀리 손톱깎이 (S)', '헌터스 블랙 트러플칩 25g']","[0.9999023675918579, 0.9994895458221436, 0.9947232007980347, 0.9455599784851074, 0.941497266292572]"
M0000010820672,"['[4월 올영PICK/(미니 증정기획)] 페리페라 잉크더벨벳AD', '바이오티 마시는 프리바이오틱스 애플소다 350ml', 'C06', '필리밀리 손톱깎이 (S)', '필리밀리 코털가위']","[0.9999979734420776, 0.9999783039093018, 0.9998840093612671, 0.9998764991760254, 0.9997251629829407]"
M0000003843709,"['C02', 'C08""', '보로탈코 크레마 벨루탄테 크림 2종 택 1(30ml/150ml)', 'C09', 'C06']","[0.9999998807907104, 0.9999997615814209, 0.9999986886978149, 0.9999986886978149, 0.999176561832428]"
M0000011644406,"['티타니아 샌드풋파일', '[1+1기획]페리페라 잉크블랙카라', '밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml', 'W.DRESSROOM 퍼퓸 핸드크림 No.30 화이트머스크 50ml', '크리넥스 99.9% 항균 안심물티슈 10매']","[0.9999810457229614, 0.9997639060020447, 0.9995105266571045, 0.9964842796325684, 0.9913312196731567]"
M0000003280099,"['C05""', 'C08', '[NEW] 더프트앤도프트 시그니처/니치 바디퍼퓸미스트 80ml 4종 택1', '[4월 올영PICK/(미니 증정기획)] 페리페라 잉크더벨벳AD', '로아커 미니스 믹스 15입 150g']","[0.9999964237213135, 0.9998828172683716, 0.9997220635414124, 0.999665379524231, 0.9996351003646851]"
M0000011558556,"['C03', '헌터스 화이트 트러플칩 25g', 'C08', 'C05""', '에스리턴 프로틴 브라우니바 초코 50g']","[1.0, 0.9999995231628418, 0.9999459981918335, 0.9998841285705566, 0.999742329120636]"
M0000003446092,"['칼파제르 다크 초콜릿 70% 150g', 'C09', '로아커 미니스 믹스 15입 150g', '고려은단 알티지 오메가3 60캡슐 (60일분)', '크리넥스 99.9% 항균 안심물티슈 10매']","[1.0, 1.0, 0.9999938011169434, 0.999839186668396, 0.9997817873954773]"
M0000018746176,"['C10""', '칼파제르 셀렉션 초콜릿150g', 'C09""', '[4월 올영PICK/(미니 증정기획)] 페리페라 잉크더벨벳AD', 'C08""']","[0.9945226907730103, 0.9939833283424377, 0.988974928855896, 0.9569152593612671, 0.9523870348930359]"
M0000011679110,"['[1+1기획]페리페라 잉크블랙카라', '[선우PICK]메디힐 티트리 진정 패드 100매', '아크네스 3초 진정 패치 2종 택1', '칼파제르 셀렉션 초콜릿150g', '[NEW] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 85g']","[0.9999992847442627, 0.9999902248382568, 0.9999536275863647, 0.9999039173126221, 0.9998836517333984]"
M0000019947362,"['헌터스 블랙 트러플칩 25g', '에스리턴 프로틴 브라우니바 초코 50g', 'C08""', '보로탈코 크레마 벨루탄테 크림 2종 택 1(30ml/150ml)', '칼로바이 퍼펙트 파워쉐이크 20G  ( 바닐라맛/초코바나나맛 )']","[1.0, 0.9997597336769104, 0.9997360110282898, 0.9978963136672974, 0.9966102242469788]"
M0000002396561,"['아크네스 3초 진정 패치 2종 택1', '칼파제르 밀크 초콜릿150g', 'C06""', '필리밀리 코털가위', '메디힐 캡슐100 바이오 세컨덤 하이드로 베타']","[1.0, 1.0, 1.0, 0.9999071359634399, 0.999881386756897]"
M0000003635973,"['밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml', 'C05""', '딜라이트 프로젝트 프로틴 브라우니/카스테라칩 ', '티타니아 샌드풋파일', '라이아 탈모증상완화 프로알테인 단백질 샴푸400ml+트리트먼트200ml 기획세트']","[0.9993045330047607, 0.9991379976272583, 0.9966890215873718, 0.9960972666740417, 0.9954217076301575]"
M0000016788424,"['필리밀리 손톱깎이 (S)', 'C08', '바이오티 마시는 프리바이오틱스 애플소다 350ml', '스카이보틀 퍼퓸 핸드크림 50ml 5종 택1', '칼파제르 셀렉션 초콜릿150g']","[0.9999563694000244, 0.9996379613876343, 0.9991905093193054, 0.9990485310554504, 0.9985051155090332]"
M0000014676074,"['C06', '마요라 코피코 커피맛캔디 블리스터 32g', '밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml', '헌터스 블랙 트러플칩 25g', '3CE 무드레시피 매트 립 컬러']","[1.0, 0.999879002571106, 0.9996792078018188, 0.9977225661277771, 0.9766638875007629]"
