userId,top_5_name,prediction_rate
M0000010820672,"['라이아 모발코어강화 고영양 단백질크림 헤어 트리트먼트 200ml', '헌터스 화이트 트러플칩 25g', 'C05', '보로탈코 크레마 벨루탄테 크림 2종 택 1(30ml/150ml)', '칼로바이 퍼펙트 파워쉐이크 20G  ( 바닐라맛/초코바나나맛 )']","[0.9999996423721313, 0.999997615814209, 0.9999942779541016, 0.9960358738899231, 0.9955850839614868]"
M0000003843709,"['C05', 'C09', '밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml', '3CE 무드레시피 매트 립 컬러', 'C05""']","[1.0, 0.9999843835830688, 0.999812662601471, 0.9998096823692322, 0.9995488524436951]"
M0000011644406,"['헌터스 블랙 트러플칩 25g', '헌터스 화이트 트러플칩 25g', '바이오티 마시는 프리바이오틱스 애플소다 350ml', '라이아 탈모증상완화 프로알테인 단백질 샴푸400ml+트리트먼트200ml 기획세트', '[NEW] 무지개맨션 아이시 글로우']","[0.9999998807907104, 0.999996542930603, 0.9999868869781494, 0.9998156428337097, 0.9992483258247375]"
M0000003280099,"['C08', 'C08""', '헌터스 화이트 트러플칩 25g', 'C11""', '레이즈 클래식 감자칩 42.5g']","[1.0, 1.0, 0.9999961853027344, 0.9998987913131714, 0.9985647797584534]"
M0000011558556,"['밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml', '메디힐 캡슐100 바이오 세컨덤 하이드로 베타', '크리넥스 99.9% 항균 안심물티슈 10매', '[NEW] 더프트앤도프트 시그니처/니치 바디퍼퓸미스트 80ml 4종 택1', '칼파제르 다크 초콜릿 70% 150g']","[0.9999747276306152, 0.9999459981918335, 0.9997233748435974, 0.9945854544639587, 0.9800372123718262]"
M0000003446092,"['딜라이트 프로젝트 프로틴 브라우니/카스테라칩 ', '티타니아 샌드풋파일', '에뛰드 컬픽스 마스카라 ', '헌터스 블랙 트러플칩 25g', 'C06']","[1.0, 1.0, 0.9999980926513672, 0.9999784231185913, 0.9994832277297974]"
M0000018746176,"['에뛰드 컬픽스 마스카라 ', 'C08""', 'C05', 'C05""', '라이아 모발코어강화 고영양 단백질크림 헤어 트리트먼트 200ml']","[1.0, 1.0, 0.9999998807907104, 0.9999998807907104, 0.9999997615814209]"
M0000011679110,"['칼파제르 밀크 초콜릿150g', '밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml', '[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)', '헌터스 블랙 트러플칩 25g', 'C08']","[1.0, 1.0, 1.0, 0.9999892711639404, 0.997056245803833]"
M0000019947362,"['헌터스 블랙 트러플칩 25g', '3CE 무드레시피 매트 립 컬러', '[1+1기획]페리페라 잉크블랙카라', '칼파제르 셀렉션 초콜릿150g', '칼로바이 퍼펙트 파워쉐이크 20G  ( 바닐라맛/초코바나나맛 )']","[1.0, 1.0, 1.0, 1.0, 0.9999345541000366]"
M0000002396561,"['칼로바이 퍼펙트 파워쉐이크 20G  ( 바닐라맛/초코바나나맛 )', '아크네스 3초 진정 패치 2종 택1', '밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml', '에스리턴 프로틴 브라우니바 초코 50g', '헌터스 블랙 트러플칩 25g']","[0.9999998807907104, 0.999916672706604, 0.9999061822891235, 0.999708354473114, 0.9996258020401001]"
M0000003635973,"['칼파제르 셀렉션 초콜릿150g', '메디힐 캡슐100 바이오 세컨덤 하이드로 베타', 'C08""', '딜라이트 프로젝트 프로틴 브라우니/카스테라칩 ', '히말라야 핑크솔트 담은 칫솔 부드러운 초극세모 1입 (색상랜덤)']","[1.0, 0.9999957084655762, 0.9999791383743286, 0.996310293674469, 0.995398223400116]"
M0000016788424,"['칼로바이 퍼펙트 파워쉐이크 20G  ( 바닐라맛/초코바나나맛 )', '덴티스테 민트볼 20입', '아크네스 3초 진정 패치 2종 택1', '고려은단 알티지 오메가3 60캡슐 (60일분)', '메디힐 캡슐100 바이오 세컨덤 하이드로 베타']","[1.0, 0.9999998807907104, 0.9999979734420776, 0.9999480247497559, 0.999923825263977]"
M0000014676074,"['보로탈코 크레마 벨루탄테 크림 2종 택 1(30ml/150ml)', 'C05', 'C06""', '헌터스 블랙 트러플칩 25g', 'C07']","[1.0, 1.0, 1.0, 0.9999974966049194, 0.9999858140945435]"
M0000019414903,"['[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)', '마요라 코피코 커피맛캔디 블리스터 32g', 'C10""', '바이오티 마시는 프리바이오틱스 애플소다 350ml', '덴티스테 민트볼 20입']","[0.9998867511749268, 0.9991014003753662, 0.9988580942153931, 0.9894575476646423, 0.9719144105911255]"
