top_5_recommendation
"['레이즈 클래식 감자칩 42.5g', '[1+1기획]페리페라 잉크블랙카라', '3CE 무드레시피 매트 립 컬러', '[NEW] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 85g', '밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml']"
"['에뛰드 컬픽스 마스카라 ', '[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', '고려은단 알티지 오메가3 60캡슐 (60일분)', 'C04', 'C10""', 'C03']"
"['에뛰드 컬픽스 마스카라 ', '고려은단 알티지 오메가3 60캡슐 (60일분)', '메디힐 캡슐100 바이오 세컨덤 하이드로 베타', 'C08""', '[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', 'C10""']"
"['C08""', '3CE 무드레시피 매트 립 컬러', '[선우PICK]메디힐 티트리 진정 패드 100매', '[NEW] 무지개맨션 아이시 글로우', 'C03']"
"['C04', '고려은단 알티지 오메가3 60캡슐 (60일분)', '[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', '라이아 모발코어강화 고영양 단백질크림 헤어 트리트먼트 200ml', 'C03']['C04', '고려은단 알티지 오메가3 60캡슐 (60일분)', '[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', '라이아 모발코어강화 고영양 단백질크림 헤어 트리트먼트 200ml', 'C03']"
"['에뛰드 컬픽스 마스카라 ', '고려은단 알티지 오메가3 60캡슐 (60일분)', '메디힐 캡슐100 바이오 세컨덤 하이드로 베타', '[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', 'C05""', '라이아 모발코어강화 고영양 단백질크림 헤어 트리트먼트 200ml']['에뛰드 컬픽스 마스카라 ', '고려은단 알티지 오메가3 60캡슐 (60일분)', '메디힐 캡슐100 바이오 세컨덤 하이드로 베타', '[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', 'C05""', '라이아 모발코어강화 고영양 단백질크림 헤어 트리트먼트 200ml']"
"['[NEW] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 85g', '레이즈 클래식 감자칩 42.5g', '[4월 올영PICK/(미니 증정기획)] 페리페라 잉크더벨벳AD', '티타니아 샌드풋파일', '에뛰드 컬픽스 마스카라 ']"
"['C07', '고려은단 알티지 오메가3 60캡슐 (60일분)', '[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', '에뛰드 컬픽스 마스카라 ']['C07', '고려은단 알티지 오메가3 60캡슐 (60일분)', '[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', '에뛰드 컬픽스 마스카라 ']['C07', '고려은단 알티지 오메가3 60캡슐 (60일분)', '[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', '에뛰드 컬픽스 마스카라 ']"
"['C04', '고려은단 알티지 오메가3 60캡슐 (60일분)', '에뛰드 컬픽스 마스카라 ', '라이아 모발코어강화 고영양 단백질크림 헤어 트리트먼트 200ml']['C04', '고려은단 알티지 오메가3 60캡슐 (60일분)', '에뛰드 컬픽스 마스카라 ', '라이아 모발코어강화 고영양 단백질크림 헤어 트리트먼트 200ml']['C04', '고려은단 알티지 오메가3 60캡슐 (60일분)', '에뛰드 컬픽스 마스카라 ', '라이아 모발코어강화 고영양 단백질크림 헤어 트리트먼트 200ml']"
"['C08""', '고려은단 알티지 오메가3 60캡슐 (60일분)', 'C05""', '라이아 모발코어강화 고영양 단백질크림 헤어 트리트먼트 200ml', '3CE 무드레시피 매트 립 컬러']"
"['C04', '[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', '고려은단 알티지 오메가3 60캡슐 (60일분)', 'C03', 'C09']['C04', '[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', '고려은단 알티지 오메가3 60캡슐 (60일분)', 'C03', 'C09']"
